snapped_at,price,market_cap,total_volume
2023-12-24 00:00:00 UTC,2307.4204995484693,21121953469.559578,31429833.691259354
2023-12-25 00:00:00 UTC,2263.029022328592,20609330705.37745,20904689.029544607
2023-12-26 00:00:00 UTC,2270.517286558201,20672439337.332737,26268518.889166422
2023-12-27 00:00:00 UTC,2228.012051455141,20238323059.16432,26108618.14911198
2023-12-28 00:00:00 UTC,2376.3439856746013,21750175261.68582,21541288.59084489
2023-12-29 00:00:00 UTC,2347.625985374971,21520383637.893764,19717270.037998594
2023-12-30 00:00:00 UTC,2295.9991699602065,21005543241.775158,20156886.774865244
2023-12-31 00:00:00 UTC,2295.3538400099205,21123661423.571266,18188956.339107696
2024-01-01 00:00:00 UTC,2277.753313786249,20988968614.352074,9363343.4608926
2024-01-02 00:00:00 UTC,2345.476128327646,21626044486.09318,17260177.78205445
2024-01-03 00:00:00 UTC,2354.261240347121,21698144150.27756,28720127.173708145
2024-01-04 00:00:00 UTC,2207.7352478058738,20418252940.07801,41038774.593259595
2024-01-05 00:00:00 UTC,2270.9985127049886,21014154375.294437,9731579.89558909
2024-01-06 00:00:00 UTC,2264.3642137555917,20948253830.109886,34504712.98649811
2024-01-07 00:00:00 UTC,2239.912028477092,20723085382.021587,10969864.170687001
2024-01-08 00:00:00 UTC,2218.9809783068144,20505090704.813198,13648386.299773542
2024-01-09 00:00:00 UTC,2329.091156554353,21547389674.91489,18859140.343907014
2024-01-10 00:00:00 UTC,2342.5117789372116,21663976360.597298,32658356.234851953
2024-01-11 00:00:00 UTC,2571.751554938807,23961370998.76231,42274741.807983145
2024-01-12 00:00:00 UTC,2621.5622250312117,24389477760.762516,41649757.05470476
2024-01-13 00:00:00 UTC,2523.541080303175,23497429974.386898,26841754.42293346
2024-01-14 00:00:00 UTC,2580.766815503295,24036966321.803036,13384020.214274807
2024-01-15 00:00:00 UTC,2471.0562770123206,23116248921.874508,17910523.072135743
2024-01-16 00:00:00 UTC,2517.6563012332927,23480479068.719273,12274626.308965238
2024-01-17 00:00:00 UTC,2588.100559692717,24109327310.5914,23619777.642662242
2024-01-18 00:00:00 UTC,2523.659240342434,23495551401.67663,14056250.78063586
2024-01-19 00:00:00 UTC,2464.7055308251092,22980677531.55837,7217518.135689341
2024-01-20 00:00:00 UTC,2489.8355522240613,23227778404.90598,27254974.76779485
2024-01-21 00:00:00 UTC,2467.745834429918,23037824166.708126,16599388.306695439
2024-01-22 00:00:00 UTC,2451.9847390551245,22939403054.555515,8464874.588559179
2024-01-23 00:00:00 UTC,2306.506451681446,21584417511.880905,20995085.50364835
2024-01-24 00:00:00 UTC,2242.4925066658448,20976564789.29612,83877552.62266985
2024-01-25 00:00:00 UTC,2233.2880861314115,20901462157.90706,18982871.77270935
2024-01-26 00:00:00 UTC,2218.43245242988,20783882875.33558,19609190.30212562
2024-01-27 00:00:00 UTC,2268.09703918068,21205802456.002373,15404806.178229377
2024-01-28 00:00:00 UTC,2264.8167100476394,21244011002.582096,7809253.057648126
2024-01-29 00:00:00 UTC,2254.8488855569067,21156943737.365173,14943165.711833036
2024-01-30 00:00:00 UTC,2312.2744046914704,21758853795.28817,43166682.54134796
2024-01-31 00:00:00 UTC,2343.985623624999,22044168454.078434,17680282.342136342
2024-02-01 00:00:00 UTC,2281.32911811098,21485566117.659714,19929163.919346195
2024-02-02 00:00:00 UTC,2302.7025184674653,21737209309.456158,20941616.373465184
2024-02-03 00:00:00 UTC,2310.2495869021423,21896711879.323353,15229326.982478958
2024-02-04 00:00:00 UTC,2296.2725905698903,21753880185.89906,9735348.591571841
2024-02-05 00:00:00 UTC,2290.0981554435148,21725722096.408066,7440878.853677309
2024-02-06 00:00:00 UTC,2298.130120290044,21811520522.05669,19327381.789512295
2024-02-07 00:00:00 UTC,2373.8984192631638,22555034915.50041,8818597.26939501
2024-02-08 00:00:00 UTC,2424.759950449344,23086349213.34584,30109988.54555323
2024-02-09 00:00:00 UTC,2424.1223604911297,23180799211.2732,18198101.324518584
2024-02-10 00:00:00 UTC,2486.1286167934118,23914203415.046017,21494334.383660313
2024-02-11 00:00:00 UTC,2499.2000750349343,24009900988.40954,8333606.700238289
2024-02-12 00:00:00 UTC,2508.876669348494,24091805069.269196,6250675.418682209
2024-02-13 00:00:00 UTC,2655.5500473270945,25558896896.283054,10741139.544014677
2024-02-14 00:00:00 UTC,2639.5078892050165,25519817483.23168,14994651.884826208
2024-02-15 00:00:00 UTC,2778.1451135728394,27037120106.36051,34321404.45035304
2024-02-16 00:00:00 UTC,2823.7965276341765,27624686582.988583,14889355.62656299
2024-02-17 00:00:00 UTC,2805.1139505460665,27435618683.423187,31219791.449676678
2024-02-18 00:00:00 UTC,2783.4990483907036,27239515469.66714,6973990.305166935
2024-02-19 00:00:00 UTC,2868.724335731698,28089939650.0,9223796.911441075
2024-02-20 00:00:00 UTC,2938.8472186797558,28774459903.735603,20040441.250438016
2024-02-21 00:00:00 UTC,3009.526135760951,29460484883.08736,25703489.708111774
2024-02-22 00:00:00 UTC,2977.09463032049,29193652873.525288,20279151.739212546
2024-02-23 00:00:00 UTC,2974.365244095076,29153471759.958202,121275225.91931655
2024-02-24 00:00:00 UTC,2919.5547034696338,28695017179.544376,37683464.74293861
2024-02-25 00:00:00 UTC,2985.215086724264,29269602168.93447,22931879.75010684
2024-02-26 00:00:00 UTC,3109.928669025007,30526606672.35908,22967456.535986878
2024-02-27 00:00:00 UTC,3168.200349540846,31074974650.8263,38165904.69773761
2024-02-28 00:00:00 UTC,3241.806668516603,31795707086.35891,65986285.65334521
2024-02-29 00:00:00 UTC,3374.4747782518357,33150804082.4036,69595063.6863979
2024-03-01 00:00:00 UTC,3343.100875694517,32976259786.278687,41628993.62664702
2024-03-02 00:00:00 UTC,3426.92911671611,33745471002.706764,31415655.14944715
2024-03-03 00:00:00 UTC,3416.7248340193564,33644545010.386097,23438099.503778182
2024-03-04 00:00:00 UTC,3477.942996467507,34197861312.435078,27248561.06840487
2024-03-05 00:00:00 UTC,3623.861064625198,35678274503.63361,47521280.6322172
2024-03-06 00:00:00 UTC,3577.794802889734,35227441422.54432,83651731.5419031
2024-03-07 00:00:00 UTC,3816.1654688332196,37476769782.48609,79701661.88660736
2024-03-08 00:00:00 UTC,3857.039155079732,37975347955.58329,55988929.562707275
2024-03-09 00:00:00 UTC,3890.2758144772592,38309616730.29863,49158321.569320545
2024-03-10 00:00:00 UTC,3911.8609633522087,38548263341.97118,24442896.204037167
2024-03-11 00:00:00 UTC,3882.691629962496,38300130839.869354,29788047.723113142
2024-03-12 00:00:00 UTC,4067.4788293759316,40208183428.92564,86255790.15841326
2024-03-13 00:00:00 UTC,3971.174425006254,39136483550.805626,74102646.25732814
2024-03-14 00:00:00 UTC,4000.2026850083626,39398965991.128685,71324600.03177112
2024-03-15 00:00:00 UTC,3876.3571681759317,38184868590.89873,57361733.8862592
2024-03-16 00:00:00 UTC,3734.6410982501175,36814413948.2165,222005087.65533578
2024-03-17 00:00:00 UTC,3512.920114179522,34410243662.88935,67844914.08548377
2024-03-18 00:00:00 UTC,3647.2106019744188,35599062667.81345,79749901.96951936
2024-03-19 00:00:00 UTC,3524.387793085141,34488135565.85557,107336059.87935534
2024-03-20 00:00:00 UTC,3159.82473662374,31011834005.707195,290193260.9876437
2024-03-21 00:00:00 UTC,3510.9282294567715,34401286483.1495,208239549.7535987
2024-03-22 00:00:00 UTC,3486.526092470764,34185274332.89926,66705914.52478403
2024-03-23 00:00:00 UTC,3317.7173715216304,32409887531.183777,146460432.83047593
2024-03-24 00:00:00 UTC,3345.1300260562593,32719273478.90405,85361721.26604527
2024-03-25 00:00:00 UTC,3447.4356589033887,33668896241.890175,99528085.78323767
2024-03-26 00:00:00 UTC,3582.3681175406177,34666623403.128105,97551779.71155177
2024-03-27 00:00:00 UTC,3590.4985797891445,34765862572.12553,132485917.07755317
2024-03-28 00:00:00 UTC,3498.7341236362076,33789149314.27538,238445892.8480865
2024-03-29 00:00:00 UTC,3552.378511969561,34438571152.09961,220450718.7669043
2024-03-30 00:00:00 UTC,3504.052295323504,33991055228.294384,83723324.9809911
2024-03-31 00:00:00 UTC,3497.885666487047,33894903338.505722,54151142.62227749
2024-04-01 00:00:00 UTC,3631.8507534957967,35213350128.73767,53244339.426460996
2024-04-02 00:00:00 UTC,3500.2371763702035,33807575984.243526,122958066.55887882
2024-04-03 00:00:00 UTC,3267.8988853438373,31346188108.948204,142015155.53050914
2024-04-04 00:00:00 UTC,3309.7312647951485,31629773553.373306,106049655.28138454
2024-04-05 00:00:00 UTC,3323.369399251932,31696243084.797493,78565233.32371975
2024-04-06 00:00:00 UTC,3319.4282376636256,31774452210.502857,88165745.11806683
2024-04-07 00:00:00 UTC,3358.7447141372277,31994166905.93503,87404793.51714152
2024-04-08 00:00:00 UTC,3448.736049223783,32918250903.40179,89725954.29542287
2024-04-09 00:00:00 UTC,3687.949143931034,35188753077.44927,109123376.72576742
2024-04-10 00:00:00 UTC,3498.7600918460253,33299604253.225384,209385739.37910327
2024-04-11 00:00:00 UTC,3535.2162292032094,33423902681.472836,116962704.94976228
2024-04-12 00:00:00 UTC,3500.86747603852,32963416251.11636,102180694.101232
2024-04-13 00:00:00 UTC,3235.2530786008465,30421742542.90026,188021469.70630687
2024-04-14 00:00:00 UTC,2996.650475790675,28429808478.89856,341656381.5086519
2024-04-15 00:00:00 UTC,3151.6763223197763,29664497021.815685,241354406.84749022
2024-04-16 00:00:00 UTC,3097.454295369382,29067460316.034313,165650304.35077518
2024-04-17 00:00:00 UTC,3077.541942036283,28914024596.31365,122134124.32142812
