date,swap_count,volume_usd,fees_usd
2024-10-27 00:00:00,2832,60070766.7,30035.38335
2024-10-26 00:00:00,3790,81882847.05,40941.42353
2024-10-25 00:00:00,5077,229020177.2,114510.0886
2024-10-24 00:00:00,3901,121351256.6,60675.62831
2024-10-23 00:00:00,3953,144883352.8,72441.67638
2024-10-22 00:00:00,3578,110554777.1,55277.38855
2024-10-21 00:00:00,3948,110205971.5,55102.98574
2024-10-20 00:00:00,3156,80720630.37,40360.31518
2024-10-19 00:00:00,2694,37428041.82,18714.02091
2024-10-18 00:00:00,3222,106753678.2,53376.83908
2024-10-17 00:00:00,3610,129036202,64518.101
2024-10-16 00:00:00,4213,141631733.3,70815.86663
2024-10-15 00:00:00,4587,214160285.8,107080.1429
2024-10-14 00:00:00,4660,221732239.6,110866.1198
2024-10-13 00:00:00,3641,58750179.33,29375.08967
2024-10-12 00:00:00,4464,101738599.5,50869.29977
2024-10-11 00:00:00,4363,114795650.2,57397.82509
2024-10-10 00:00:00,4405,127869011,63934.50552
2024-10-09 00:00:00,3958,130333324.1,65166.66206
2024-10-08 00:00:00,3702,118602744.8,59301.3724
2024-10-07 00:00:00,4121,150997925.3,75498.96267
2024-10-06 00:00:00,3166,58870293.56,29435.14678
2024-10-05 00:00:00,3011,60810956.33,30405.47816
2024-10-04 00:00:00,4585,165319578.8,82659.78938
2024-10-03 00:00:00,5055,192580332.2,96290.16608
2024-10-02 00:00:00,5084,240489566.9,120244.7834
2024-10-01 00:00:00,5805,275937873.2,137968.9366
2024-09-30 00:00:00,4132,200929040,100464.52
2024-09-29 00:00:00,3367,74198310.96,37099.15548
2024-09-28 00:00:00,3151,76951132.44,38475.56622
2024-09-27 00:00:00,3785,113271861.2,56635.93062
2024-09-26 00:00:00,3764,166044365.4,83022.18272
2024-09-25 00:00:00,3465,165354247.2,82677.1236
2024-09-24 00:00:00,3473,140379840.9,70189.92047
2024-09-23 00:00:00,3985,154970474.4,77485.23718
2024-09-22 00:00:00,3127,87999011.21,43999.5056
2024-09-21 00:00:00,2956,59717553.59,29858.7768
2024-09-20 00:00:00,4091,146078149.4,73039.07472
2024-09-19 00:00:00,4283,125725678.1,62862.83904
2024-09-18 00:00:00,4422,167162348.1,83581.17406
2024-09-17 00:00:00,4249,127516266.8,63758.13341
2024-09-16 00:00:00,4824,143853116.3,71926.55815
2024-09-15 00:00:00,3836,85730469.27,42865.23463
2024-09-14 00:00:00,3630,74902649.19,37451.3246
2024-09-13 00:00:00,4528,97734618.25,48867.30913
2024-09-12 00:00:00,4357,143904101,71952.05052
2024-09-11 00:00:00,5449,157215631.9,78607.81597
2024-09-10 00:00:00,4773,120692551.6,60346.27582
2024-09-09 00:00:00,5379,147486694.1,73743.34705
2024-09-08 00:00:00,4514,107017238.8,53508.61941
2024-09-07 00:00:00,5185,101940708,50970.35398
2024-09-06 00:00:00,8457,440295583.1,220147.7916
2024-09-05 00:00:00,5083,157246848.7,78623.42436
2024-09-04 00:00:00,7202,205930640.8,102965.3204
2024-09-03 00:00:00,5200,134029554.8,67014.77742
2024-09-02 00:00:00,4382,129768575.1,64884.28756
2024-09-01 00:00:00,5345,126265065.7,63132.53287
2024-08-31 00:00:00,3728,43140064.04,21570.03202
2024-08-30 00:00:00,5780,156070963.5,78035.48173
2024-08-29 00:00:00,5126,134677668.2,67338.8341
2024-08-28 00:00:00,6980,241631958.9,120815.9795
2024-08-27 00:00:00,6431,246198743.7,123099.3718
2024-08-26 00:00:00,4503,95556951.19,47778.47559
2024-08-25 00:00:00,4179,68696435.75,34348.21787
2024-08-24 00:00:00,5334,98254569.6,49127.2848
2024-08-23 00:00:00,5800,171465763.4,85732.8817
2024-08-22 00:00:00,4753,97415247.21,48707.6236
2024-08-21 00:00:00,5865,159556570.4,79778.28522
2024-08-20 00:00:00,6783,155530581.7,77765.29085
2024-08-19 00:00:00,4735,131263802.8,65631.90142
2024-08-18 00:00:00,3718,77080801.21,38540.4006
2024-08-17 00:00:00,3868,51720613.38,25860.30669
2024-08-16 00:00:00,5282,159454713,79727.35648
2024-08-15 00:00:00,5589,240311819.9,120155.9099
2024-08-14 00:00:00,5225,173325246.9,86662.62346
2024-08-13 00:00:00,5424,175946509.8,87973.25491
2024-08-12 00:00:00,6437,180411688.1,90205.84406
2024-08-11 00:00:00,5888,113982910.7,56991.45534
2024-08-10 00:00:00,4532,75476075.2,37738.0376
2024-08-09 00:00:00,9176,131972785.8,65986.39291
2024-08-08 00:00:00,9123,193077606.1,96538.80307
2024-08-07 00:00:00,11475,277273186.1,138636.5931
2024-08-06 00:00:00,10699,328724695.2,164362.3476
2024-08-05 00:00:00,18212,1363018151,681509.0757
2024-08-04 00:00:00,8351,209475516.4,104737.7582
2024-08-03 00:00:00,8235,460991937.1,230495.9685
2024-08-02 00:00:00,6953,226428494.2,113214.2471
2024-08-01 00:00:00,5840,219896027.6,109948.0138
2024-07-31 00:00:00,5986,323549382.8,161774.6914
2024-07-30 00:00:00,6098,289441427.7,144720.7139
2024-07-29 00:00:00,7485,299732560.2,149866.2801
2024-07-28 00:00:00,4601,89599936.23,44799.96811
2024-07-27 00:00:00,5232,219796727.2,109898.3636
2024-07-26 00:00:00,6281,182322760.7,91161.38037
2024-07-25 00:00:00,7871,294573783.9,147286.892
2024-07-24 00:00:00,5194,338759641.7,169379.8208
2024-07-23 00:00:00,6676,595945893.9,297972.9469
2024-07-22 00:00:00,5799,378050873.4,189025.4367
2024-07-21 00:00:00,5782,347273511.1,173636.7555
2024-07-20 00:00:00,5426,215701228,107850.614
2024-07-19 00:00:00,5591,399600184.5,199800.0923
2024-07-18 00:00:00,5368,315189882.4,157594.9412
2024-07-17 00:00:00,5589,375107972.4,187553.9862
2024-07-16 00:00:00,6815,447730394.9,223865.1975
2024-07-15 00:00:00,6968,387321615.4,193660.8077
2024-07-14 00:00:00,5076,78240188.82,39120.09441
2024-07-13 00:00:00,4929,61402742.5,30701.37125
2024-07-12 00:00:00,5976,135622671.8,67811.33592
2024-07-11 00:00:00,6117,140770685.3,70385.34266
2024-07-10 00:00:00,5632,111963317.3,55981.65865
2024-07-09 00:00:00,6691,141185682.9,70592.84147
2024-07-08 00:00:00,8419,209214977.4,104607.4887
2024-07-07 00:00:00,6131,70264311.2,35132.1556
2024-07-06 00:00:00,5850,79959737.87,39979.86893
2024-07-05 00:00:00,9949,450388502.2,225194.2511
2024-07-04 00:00:00,8207,345184087.7,172592.0438
2024-07-03 00:00:00,6488,255757743.9,127878.872
2024-07-02 00:00:00,5247,106908984.8,53454.49239
2024-07-01 00:00:00,5728,198734964.5,99367.48225
2024-06-30 00:00:00,5682,99908482.1,49954.24105
2024-06-29 00:00:00,5126,55073926.4,27536.9632
2024-06-28 00:00:00,6293,194791308.3,97395.65413
2024-06-27 00:00:00,5660,305080047,152540.0235
2024-06-26 00:00:00,5768,202380452.5,101190.2263
2024-06-25 00:00:00,6866,277317150.3,138658.5752
2024-06-24 00:00:00,9974,815538125.2,407769.0626
2024-06-23 00:00:00,6388,303865469.1,151932.7345
2024-06-22 00:00:00,5303,81914381.63,40957.19081
2024-06-21 00:00:00,6596,315498783.4,157749.3917
2024-06-20 00:00:00,6237,250783533.9,125391.7669
2024-06-19 00:00:00,6818,241521030.9,120760.5155
2024-06-18 00:00:00,11434,375686936.4,187843.4682
2024-06-17 00:00:00,7060,306819836.7,153409.9184
2024-06-16 00:00:00,5525,140210950.1,70105.47503
2024-06-15 00:00:00,5228,141718389.3,70859.19463
2024-06-14 00:00:00,6797,313375939.3,156687.9696
2024-06-13 00:00:00,6897,277176147.7,138588.0739
2024-06-12 00:00:00,6189,302199959,151099.9795
2024-06-11 00:00:00,7741,373924995.8,186962.4979
2024-06-10 00:00:00,6126,255859686.6,127929.8433
2024-06-09 00:00:00,5138,80534468.24,40267.23412
2024-06-08 00:00:00,5470,88133388.16,44066.69408
2024-06-07 00:00:00,5885,207331515.9,103665.7579
2024-06-06 00:00:00,5069,156419725.8,78209.86292
2024-06-05 00:00:00,5511,193703661.2,96851.8306
2024-06-04 00:00:00,5461,208610556.7,104305.2784
2024-06-03 00:00:00,5146,189706425.5,94853.21276
2024-06-02 00:00:00,4921,149291042.7,74645.52133
2024-06-01 00:00:00,5018,115458916.6,57729.4583
2024-05-31 00:00:00,5984,523638021.6,261819.0108
2024-05-30 00:00:00,6096,408509836.7,204254.9183
2024-05-29 00:00:00,6863,1003308854,501654.4271
2024-05-28 00:00:00,6407,312641877.9,156320.9389
2024-05-27 00:00:00,6778,351389475.2,175694.7376
2024-05-26 00:00:00,7009,715333495.8,357666.7479
2024-05-25 00:00:00,6046,157206460.3,78603.23017
2024-05-24 00:00:00,7887,553661050.7,276830.5254
2024-05-23 00:00:00,9914,1301244024,650622.012
2024-05-22 00:00:00,7854,532259447.5,266129.7238
2024-05-21 00:00:00,9986,858398953.5,429199.4768
2024-05-20 00:00:00,9249,637351784.3,318675.8922
2024-05-19 00:00:00,6377,124156978.6,62078.48932
2024-05-18 00:00:00,6579,104890385.5,52445.19276
2024-05-17 00:00:00,7345,204463226.2,102231.6131
2024-05-16 00:00:00,7010,163983114.1,81991.55704
2024-05-15 00:00:00,7768,181046699,90523.3495
2024-05-14 00:00:00,7197,164123406.9,82061.70344
2024-05-13 00:00:00,7194,148957231.3,74478.61567
2024-05-12 00:00:00,5344,49292553.4,24646.2767
2024-05-11 00:00:00,5159,86048420.38,43024.21019
2024-05-10 00:00:00,7195,200804262.4,100402.1312
2024-05-09 00:00:00,7661,179801887.5,89900.94377
